Asset Size Category,Year,Total Banks,Avg ROA,Avg ROE,Avg Capital Ratio,Avg Efficiency Ratio,Avg Uninsured Deposit Pct
Community,2018,1476,1.406954141000472,6.87038982133189,65.04824419020703,77.7431018070476,14.320207899002318
Community,2019,1351,1.3876852813468392,6.704632103688934,44.58709069855428,82.64638192868166,14.904516398573849
Community,2020,1177,1.3865744080633442,6.176653992395438,32.90085955723847,83.87815445342214,15.421280311875362
Community,2021,957,1.8586963750249639,7.746882171844389,33.01935584919288,130.05720700746272,17.058420303600386
Community,2022,865,1.5516309153405843,6.733174114021572,30.829754373560935,108.27908706488999,18.64241730220792
Community,2023,816,1.5476938525876778,9.96482724580454,32.250025681360036,87.79283789027859,18.287864347044508
Community,2024,759,1.774586396966651,6.707081138040043,40.295920408437205,84.30744453674725,18.196080468893317
Community,2025,693,2.4963858659016025,9.310615384615383,54.26840770570588,83.87584829968263,18.25635078354419
Mid Size,2018,3555,1.2656803374771486,10.406991397691346,19.44956554074452,67.8166222883643,21.989198426822714
Mid Size,2019,3418,1.320627793690906,10.451634071810544,20.034032710798062,67.89550647735572,22.233686459113
Mid Size,2020,3353,1.225761118407736,9.737366669308186,13.567835182768208,68.00557355074233,23.20463925909932
Mid Size,2021,3228,1.4099892978543627,11.768375474594071,12.07545864253384,65.30897377334344,25.348373508220465
Mid Size,2022,3106,1.238254303356221,11.602629127505615,12.231694948806107,67.79706418524347,26.983884993840718
Mid Size,2023,3010,1.3145655833167902,19.319014253821052,12.641182667837734,67.06341250398403,25.093028793073092
Mid Size,2024,2940,1.2151012201652598,11.715911977421063,12.17353097446408,70.46263922379975,24.743830527419032
Mid Size,2025,2860,1.235331678059845,10.778675027262812,11.782115576906063,66.95416555335373,25.14452520431009
Regional,2018,690,1.2629665936084522,11.528360784313726,17.071194859933243,60.639989932855556,28.38681395511446
Regional,2019,711,1.2862572048695555,11.12695205479452,17.135293223347535,61.71750847740306,29.32180632821442
Regional,2020,824,1.0508803349394262,9.444606891937102,14.05108896581123,61.82179369106484,31.583224740757274
Regional,2021,886,1.4054141103181061,13.134482023156613,14.25139631034604,59.062834525593864,34.218503102428286
Regional,2022,883,1.2717815226442049,12.419462884731441,14.28587234731257,60.18925066339808,34.34634425812241
Regional,2023,887,1.2313899280522718,12.486620895522389,14.700988262642007,62.38779574936448,31.2968316633612
Regional,2024,919,1.1172566602145746,10.410653613590554,14.061320685057678,65.2458646488213,31.09565755878161
Regional,2025,955,1.246072729098354,11.300684357541899,14.289116662517067,63.41096417267109,31.716529873146325
Large,2018,145,1.3465696350910799,11.845637707948244,14.889280586664341,53.2766812746546,36.97914907626365
Large,2019,153,1.3428676813755374,11.677115044247786,14.813523695753856,51.908166673577895,35.74428081471437
Large,2020,160,0.34933533669443156,3.761683501683502,15.481442662076494,52.97502148728565,38.574119518596135
Large,2021,176,1.3812899726411243,13.402234375,16.061560315767824,53.659050714848455,42.343958067541
Large,2022,168,1.1931645880926698,12.119527559055118,15.394590002892455,53.023816190450326,41.69430874197414
Large,2023,167,1.1085267182590925,11.906492063492063,15.66300378041856,53.43758646110801,34.86864620521149
Large,2024,166,1.0230954965290462,10.291353503184714,16.21461774231351,55.81265796032704,34.927174409819756
Large,2025,168,1.05813068053362,10.532042139384117,15.955821618391766,53.241338677006446,35.78239280463744
